,댓글
193,@solmi_0117 팬있어? 안티팬? 아니면 지같은팬? 혹시 펜있어?펜으로 아주 손가락을 못쓰게 해야될꺼같은데 인스타 못하게
194,팬이 있음?
195,재밋네 이형ㅋ
196,그만해진짜 언제까지 니욕심만 채울거야
197,웃길 일이다 ㅋㅋㅋㅋㅋㅋ
198,ㅁㅊㄴ 정신 못차렸네
199,@100tr 제정신이냐고
200,@jungwanx 팬?..?? 팬이 있긴함?
201,@01_bin2 으 소름돋아
202,@dddddddeok 남은 팬이 있나
203,@moon_ymi
204,@wjddyd94 저거저거 머리가 장식이구만그래
205,으웩
206,@_meriel___ 인생은 막장으로 살아야된다 누가 뭐라든 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ철판도 저런 철판때기가 없다 증말로
207,@org__9
208,@k_mi.h 팬이 있긴하나...
209,@suubiip 이거 무ㅜ야?
210,아직팬이있나..?
211,"@jzlydbs 뭔 범죄자가 인스타를 만들어,,?"
212,@_2hyo_ 팬이 잇나???...
213,야~ 진짜 가지가지 한다💩💩💩💩
214,팬이 있긴있어요?
215,👍
216,김학래 사진 올렸습니다.
217,여기도 거세필요한 사람있네..조두순이랑 한방써라
218,@nct_in_your_house 미쳣냐 진짜
219,@b_dare_yu 엥
220,다시 들어가...
221,웩
222,@xnirey 죽일래?
223,소통을 하려는걸까 아니면 본인의 룰라 시절때 팬들을 살살 꼬드겨서 간통을 하려는걸까... 혹시 팬들의 딸을..?
224,지랄풍년
225,@l0812_2828y ㅋㅋ..?
226,@yoouulo 하 여긴 그래도 댓글 반응 이래서 맘이 편해졌어 저 미친놈 왜 기어나와
227,@jeongere 지랄
228,@h__jiyu 헤어스타일도 9년전...
229,dm오는애들꼬실라고
230,미친거 아님?
231,@yreadoon 진짜 ㅈㄹ옘병 소통원하눈 사람 없눈데~~~
232,세상달라졌다는걸 먼저 깨닫고 평범한 시민으로 돌아가게..연예인 아니잖아..열심히 사는 시민들처럼 그대도 열심히 그냥 살게나..룰라도 연예인도 아니잖아.. 모든 껍질 다벗고 그냥 바르게 살어
233,@d_hey_dhey_123 돈떨어져서 합의금걷이라도 할라그러나 아님 갑자기 훽까닥 한건가
234,@shllsh_ 에휴
235,@_dawoony ...
236,@gardenmo_on sibalnom
237,개빡쳐 진짜 @u_seunghee
238,@totalmania 소통하자👀
239,고영욱이 누구지
240,@koyoungwookgo 댓글창 열어라ㅋㅋ ㅆㅂ
241,여자들한테몹쓸짓한녀석이 슬금슬금 나오네...
242,@won.0718
243,@jangyunseon
244,디엠으로 미성년자 꼬실라고
245,@hpyh_h 인간이길 포기한 거 맞제?
246,"@mellamooejj 또라이 아니냐,,? 팬이 잇다고,,,?"
247,@xuzxeo 주접킹..
248,@cxrazon__jade 뭐고 아직 안디지고 기어 나오노
249,팬이 있다는게 더 놀랍......
250,미쳤나봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ @yerin___56
251,@x__b1n 미친새끼 아니가.........
252,뭐야뭐야〰️ 조용히 살아 아니면 ..(생략)
253,돈없으니 가지가지하네
254,계정 언급 좀 차지기삐게
255,@dbstj_ek 미친놈다있네
256,@choiyechan_ @chan__uk.p @__0e2_
257,아...내눈 버렸노
258,@jeonyuin 주접떨고앉았네
259,참 세상이 어떻게 될려고 하는지..가해자는 떳떳하고 당당하고 피해자들은 불안에떨고 공포에떨고 평생못잊는상처를 갖고사는데 누가가해자고누가피해자인지.. 피해자들만힘든세상
260,계정 조바요 욕 허벌라게 잘 박을 자신 있음
261,@nada_minjung @itsmejaea 지랄하는 것도 가지가지..
262,팬이 있냐
263,팬이 있어??
264,미친새끼아냐 @sharonnjunn
265,@seonghuip11 시발 진짜 ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ
266,난 찬성 이정도면 많이 반성 했고 이젠 50으로 가는 데.
267,살아있는한 계속 이렇게 지낼순 없기에???
268,팬이 어디있어~ 소통을 누구랑 해!
269,@soupr._ng 아구십할비샇
270,@xhxgxixe
271,@ekgusl 윽 으윽
272,볼펜...
273,욕먹을 까봐 댓글 닫아놓음.
274,@hui_oniy @hj01020304 ㅋㅋㅋㅋㅋㅋㅋㅋㅁㅊ새기 인중을 도마로 찍어버려야 돼 그냥
275,제정신임?!늙어서 진짜 볼품없네
276,븅신
277,그 소통은 ... 저승사자와 하시길
278,@o11.08o 봤냐이거
279,@chwdoo 진짜 존나 역겹다
280,슬슬기어나오려나보네
281,소통?? 같은 전과자랑 소통하고싶은거야??
282,@ungs_77 낯짝 개두껍. 욕도 아깝다ㅋㅋ
283,무뇌충
284,ㅁㅊㄴ
285,미쳤네요.
286,@kk_yinggg 여기서 문제 왜사는걸까요?
287,소통할 팬이 있긴하냐..ㅅㅂ
288,@s_min9451 혈압이야;
289,이런식으로 기어나오면 또 이런쓰레기를 쓰는 방송이 있지!
290,촤 하하하
291,소름.... 죄책감 없나요?? 사람 아니네..피해자들이 당신 얼굴 보고싶겠어요?
292,아진짜싫다 무슨생각이야
293,저 계정에 팔로워들 대부분이 광고 아니면 쓸데없는 잡계정임 팬은 있긴 하려나
294,발정난개새끼뭐라고 월월거리는거야
295,조두순 출소한다니까 지도 나대네..
296,그냥 찌그러져있어라 어딜!!!!
297,미성년성폭행범이 대놓고 이럴 엄두를 낸다는게 대단하다. 어이없는 세상
298,@p.jeonn ;; ㅂㅅ아니냐;;
299,님이 사람이세요 지랄하고있다... 😑😡
300,악플 고소해서 돈 땡기려고?
301,문신있네
302,병신새낀가...
303,걍 조용히살지
304,@fiveminji 어그로 오진다 ㅅㅂ
305,팬들은 소통하기 싫을 듯
306,@11.memories.17 인생은 고영욱처럼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
307,@mininin__
308,@le.jjhh 팬이 잇다구??ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
309,조만간 이수 앨범도 나오것네~
310,@sangjin_la
311,@j._.hvely_ (고)영욱 아닌가
312,@ganjiyou ㅋㅋㅋㅋ진짜네..
313,살아있는한 그냥 숨죽이고 살지...
314,진심 미쳤냐
315,ㅁㅊㄴ
316,쫘하
317,봉사나하면서 살아... 조용히 어디서 기어나올라고 예능에서 보는일은 없길
318,@_j_a_e_j_u_n_ 세상은 넓고 도라이는 많다
319,@zizon_ye_eun
320,@y._.jh_0920 졸라 잊고 살았네
321,"@true__10000 아직 지가 연예인인줄아나봄 팬같은소리하네 범죄자주제에..,ㅠㅠ"
322,@huni519 으 나 이거 보고 열받아서 저것의 인스타에 한마디 할라고 들어갓는데 댓글창 막아놧누 개화나네
323,팬이 있어요?
324,살아있으니까 소통이고 지랄하ㅣ 전자발찌가 아니라 그냥 디져야됐는데
325,후라이팬 모나미펜 에플펜
326,이사람 사촌동생 우리교회 선생님이었는데 하이킥때 애들이 고영욱 봤냐고 막그러니까 바빠서 명절에나 본다고 말하는 영웅이었는뎈ㅋㅋㅋㅋㅋㅋ 저일터지고 아무도 그의 사촌형의 안부를 묻지않았어.. 얼마나 창피했을까..... @kyeom__31
327,미쳤다
328,팬???
329,@jjuwooooya 소통같은 소리하넼ㅋㅋ 소총으로 쏴지기뿔라
330,...쯧
331,팬이 아직도 있어....???
332,지랄 똥싸네
333,니가 팬이 어디써😩
334,고영욱 인스타 개설하는 것에 대해서는 본인의 자유이기 때문에 어떻게 할 수는 없다 다만 우리 들이 고영욱의 인스타 계정에 가서 글을 적을 수 있다 고영욱은 이미지가 나락이라 어떤 글이라도 고소를 하기 힘들어 보인다....참고하세욬ㅋ
335,어이구야
336,@_rinchuuu 개지랄하노
337,미친거아니냐
338,@ja2sng 진짜였나봐
339,악플먹고 고소해서 돈쳐받을궁리란 생각밖에 안드네요
340,팬이 있어?? 성범죄자들?
341,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너도 참 꼴깝이다 ....
342,쟤도 사람인데 인생 살아야지...평생 숨어살순없자나?반성하면서 뭐라도 하고 열심히 살아라!!!
343,ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ
344,@haerang_o0o 제발 들어가
345,연예인 아니다 그냥 일반인 되어라
346,@c.ryeong_st ㅋㅋㅋㅋㅋㅋㅁㅊ놈
347,@___kdg_ 개소리하네
348,@p.ehddjs ㅋㅋㅋㅋㅋ소통할사람이있나?소통말고호통들을라고
349,@h_miii_ 병신 등장이오
350,팬......이 아직 있나....? 후라이팬 얘기하나 뚝배기 깨부시는거?.?
351,아직도 정신 못차렸네 정신이 나가버린건가
352,@west__kite_1 ㅅㅂ
353,지랄하고 자빠졌네
354,무시하면 됩니다. 앞으로 이분 내용엔 클릭도 댓글도 안하는걸로 ㅋㅋㅋ
355,소똥같은소리하고있네
356,ㅁㅊㄴ
357,@xminjjx @xtox_x @__precioso____ 미친 존나 자숙하라고 드러워 보기싫으니까
358,팬이있냐
359,@myu._.myu__ 성범죄자에게 팬이 있나요??🤷‍♀️
360,저기 너 팬없어...
361,?제정신인가
362,그냥 가만히 있어라 암것도 하지말고. . 기사도 보기 싫다 인간아..
363,빅뱅도 방송 하는데 ㅋㅋ
364,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
365,지랄하고 자빠졌네
366,좌표좀 가서 신고하게
367,@fxxtxstique
368,@d_geun_2
369,@heo_sangman 존 싫
370,아직도 본인이 공인인줄 아는가보오
371,@sssohyuning_
372,ㅋㅋ왜그래
373,@ju0_316 아시발
374,"인스타 계정 눈에 띄기만 해봐봐
소통은 해드릴게 얼굴 화끈하게"
375,볼팬얘기하냐?
376,@o_o___ji ㅈ까세연 으으
377,@sbstory
378,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋ
379,남은 팬들이 잇긴잇나 ?
380,@mok.birdkki
381,조두순 ㅈ지고오면 생각은 해볼게요
382,@hee1_2_3 @kcy_59 댓글창 닫아놓고 소통한대
383,인스타 해봤자지 악플만 수두룩 할거다
384,@h8.e2_ 멋있는분이네
385,@hyongwon_00 야 나만 첫짤 ㅇㅇㅅ 개닮았다 생각하냐
386,@m_zaeee 엥
387,ㅋㅋㅋㅋㅋㅋㅋㅋ
388,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
389,🤣
390,"애들이 널보고 무엇을 배우겠냐, 세상단절추천한다."
391,계속 그냥 그렇게 살아도 되는데 ㅡㅡ
392,@ss_ha.e 팬들이랑 소통 ㅇㅈㄹ;;
393,ㅋㅋㅋ
394,발찌남
395,응???
396,미친 너랑 누가 소통하겠냐?
397,@aka_saika 키야 공인이 미성년자 성폭행 한다음 인스타로 소통을 할수있는 시대가 오다니 소름이다
398,@wo_jiao_yayaseul 소톸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
399,정신 못차렸네
400,@dmsdl4653 @ju_hee20_ 소통할 팬이 어디있음?
401,누구랑 소통 ..? @stop._.year
402,@9o6_uk
403,@0haa 도랏네
404,몰색하나?
405,@syoungss_ 봄?? 진짜 오마이가스레인지임
406,@97.02.24 말세임
407,@hyo_eun3 2020년 맞는지?
408,@k__jae_s 지랄하소서
409,@kkk__j_e 팬이있음?
410,@succeedinacircle 진짜 어떻게생각하냐
411,"@koyoungwookgo 👈 고 영욱님 여기 많은 댓글들 봐주셔야할 것 같은데요? 당신이 일방적으로 통보하는 방식과 행동이 옳바른 결정인지 다시한번 깊이 생각해보셔야할 것 같습니다.

@koyoungwookgo 고 영욱님!!!!! 우리들로부터 도망쳐주세요!!!!!!!!! 아이들로부터 도망쳐주세요 제발!"
412,@suuuuumryuia @hariemo_ 야 진짜 극혐
413,@as_time.goes_by 근데 쟤 팬도 있음 ?
414,안티들만😁
415,범죄자랑 소통을 왜 하노~~
416,전자발찌말고 짖음방지목걸이도 차면 안되나요
417,@jina_oi47 ㄷ ㄷ 소름돋아
418,@pejcmg91 갑자기 지랄해서 깜짝놀랄네
419,와 생각이란게 있긴한건가...
420,"@leekkklim 이샠기 인스타봄,,? ㅈㄴ 노어이임;"
421,@hye_eun_ ㄹㄱㄴ~~~~~
422,씹새가 어딜
423,@_yeonn1 ?ㅋㅋ
424,@jiwoo_k_0517 ㅁㅊ놈이군
425,@sooeanchin @ahramsongg 댓글들봐 ㅋㅋㅋㅋ
426,@u__yx0n 존나역겹당ㅠ
427,@dddddan_b 이게 지금 뭔 개잡소리지 ..?
428,소통을...이상하게...
429,니가 팬이어딨노
430,ㅋㅋㅋㅋㅋ병신ㅋㅋㅋㅋ
431,그냥 조용히 지냈으면 좋겠다 피해자들 상처주지말고
432,@seo__h_y__eon @jin0_826 아니 근데 팬이 있냐 ?
433,좆이나 까잡솨
434,@donghee_0827 조심해 ㅠㅠ
435,소통같은 소리하네 된통맞고싶나
436,@hxjieun 😡
437,;; @_o8i4
438,ㅋㅋㅋㅋㅋㅋㅋ
439,@koyoungwookgo0 👈🏻🖕🏿
440,제정신인가?? 아직도 팬이있긴있을까?...
441,@yjun0727 팬이 어딨어..
442,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
443,연예인 하지마. 범죄자는 연예인 하는거아니야.그냥 열심히 노동해서 돈벌고 살아. 그럼 뭐라 안하잖아.
444,병신ㅅㄲ...
445,@s_ttae
446,미성년자 인스타 찝적대려고 만든거네 촤하하~
447,창피하게 😕 그냥 조용히 살다가요.
448,팬이 있나 ..?
449,@heon_______0719
450,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이미 댓글공격당하고있는데 두번죽이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ꼬시다
451,그냥 숨만쉬고살지...참 생각없네
452,지랄도 가지가지햐!!!
453,걍 재기나하셈 소통은 무슨
454,"롤이나 처 들어가서 초딩들한테 패드립 당하면서 소통이나 해라
소통샀네 소여물통으로 줜나 패고싶게 하노"
