,댓글
322,@leexxdtd 은근 겹치는가 있다
323,@jordanilll 로제 얼스퀘이크 듣농
324,@yuxjen
325,@susanna_m.m 그렇답니다
326,@hansieun95 나 나중에 들을거야
327,@iamhoboong 플레이리스트에 바로 추가..
328,@03_ahr
329,다 어디서 사는거지 ㅠ이마트는 없던데
330,@san.zzi @superboogerkingdom
331,@kkami_oo 참고하라구❤️
332,@lyy_92
333,@sol2_0915
334,@angus4784
335,@eunsiloh 오 발암물질업는애래 ㅋㅋㅋㅋ우리꺼
336,@heo_minn88
337,@today_sh.jin
338,@hodoo0929
339,@kate.haru
340,@inhwanhong 이거 사야겠네
341,@trruueuueue
342,@yon._.ny 자기야 참고해요오💓
343,@kim.sds 산들산들? 안전한거써요 ㅠ!
344,@ksg1677
345,@gayeon_106
346,@__v__2721
347,손 큰데 예쁘면 설레지
348,성재다💙
349,@merrmilyn ㅅㅂ 걍 잘생겼는데 저런 사람을 좋아하는 거 아님?
350,@dahuniiuu @jaehee1_ 손 큰거랑 눈 갈색인거 진짜 쌉인정..게다가 손은 큰데 예쁘면 jinjja 입틀막
351,@corxd_ @ximwox @ximwox 앜ㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠㅠ큐ㅠㅠㅠㅠ 마지막 사진 아니@나 지ㅉ짜 미치겟어
352,@jinyeji9 뭐좋아하는지말해봥
353,@h._.young____ 성재옵 아니양? 완전 어렸었댬
354,@bonoho0 친구 별로 없는거 빼고 다 너다 호영아
355,@adoreyou209 진짜야? ㅎㅎ
356,@un_yeong02 몇개는 맞는거 같애..ㅋㅋㅋ
357,@ujin1412 @jae.eun_heo 아이폰스그 뭐야
358,@alwaysfreshdaehaa99
359,@98._kyeong.min 무야 완젼 꾱민이자나❤️
360,@yen9ll 개좋다
361,"@u_kongram 어케생각,,??"
362,@munhyiju64 @_yun_0724 @sahee_0529 @ksyoung1425 오마이가쉬 .. 내 이상형 ..
363,@ohwwid ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 윳겨 니랑 나 아니냐
364,@h_hy_00 성재씨 완전 애기애기하닼ㅋㅋㅋㅋㅋ
365,@eun_ho_yooo.333 마지막 남궁민 나재민인줄...
366,@yundaye 네 취향 세트
367,@huffle.___.puff ★울리고 싶은 남자★
368,@haribo__16 지코는 벌레는 잡은 게 아니라 먹엇는데요
369,@_yiuni.2 전부 다 내 이상형💜
370,@new._.jimin 눈동자 잘생긴 사람이라써놓고 서강준이라 읽는다
371,@_snhnbl 충청북돜ㅋㅋㅋㅋㅋㅋ
372,난 어글리가 좋더라
373,ㅇㅁㅇ 내가 제일 잘나가 어디갔뉴..
374,fire 랑 박수쳐 어디갔지
375,나는 그리워해요•••
376,내가 제일 잘 나가가 없네
377,@y._.rin_ 노래방필수곡
378,@heeju040912
379,@jm_5025 @joonhee__jo
380,@1chzhznzl1 이런 것도 올라온다...
381,빅뱅 앨범은 다 명반임
382,위너 리멤버는 진짜로 반박불가😭😭
383,솔직히 노래는 yg...(착하게좀살지..)
384,위너는 리멤버보단 에브리데이있는 앨범이 ㄹㅇ명반..
385,"뭘 모르네..
위너는 EVERYD4Y인데.."
386,삼대중에 음악성은 와쥐가 젤 난듯
387,아이콘 리턴 전설의 전곡재생해도 거를타선 없는 앨범..
388,빅뱅인정 저 앨범 노래 다 좋음
389,공허해❤️
390,아이콘 리턴이 ㄹㅇ ㄹㅈㄷ
391,크 아이콘을 알아주네 그치그치
392,리턴 대박인데
393,@bbakong_2 아이콘 리턴 인정하지
394,@snoenlv 아이콘 리턴 개쌉인정~~~~~~~~
395,@jxx_yeji 아이콘 진짜 ㅜㅜ
396,@pang__soong 야 시발 아이콘 노래 개띵곡인데ㅠㅠㅠ
397,@http._xxhyoni 리턴 시바 리턴 ...
398,@my_1031c 아 리턴이 제일 띵반인거 아냐고 ㅋㅋㅋㅋ 아 ㅋㅋㅋㅋ
399,@thvomn 리턴 ㄹㅈㄷ
400,@_2.16_y 아이콘 리턴은 걍 다미침
401,@yxlimnnnyxel 리턴이지
402,@hgwbh @_kevinlee__ 리턴이 갑이야 ㅇㅈ?
403,@kodh0808 하 리턴 ㅁㅊㄴㄱ
404,@o._0v0_.o 개미쳣어 롱탐노씨랑 시노시작 오어ㅓ어어어엉ㅠㅜㅜㅜㅜㅜ
