,댓글
210,ㄲ ㅑ❤️ 너무 조아~
211,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ규디ㅠㅠㅠㅠㅠㅠ언제때예요ㅠ
212,@011211_ ㅋㅋㅋㅋㅋㅋㅋ
213,예...예뻐여😍😍😍
214,@lidgyjung ㅋㅋㅋㅋㅋㅋ아놔
215,드디어 치트키 ....!
216,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
217,@ly_j_ 야 내가 지금 뭘 본거냐
218,드디어..?ㅋㅋ
219,와우ㅋㅋㅋㅋㅋㅋ
220,고생하셨어요.
221,@th._.un 왜 다리 라인이 나보다 예쁘죠 해명하세요
222,@suminlovesptx 드디엌ㅋㅋㅋㅋ
223,👻
224,순간 여자인줄 😅
225,@zoo_____aa ㅋㅋㅋ
226,@minj_udy__ 아 존버단 성공... 드디어...👍🏻
227,@worthy_eun 스포당했닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
228,헐 넘 예뻐😇
229,@_enzzang_ @cshwa_a 신촌 에뛰드 아니냐 이겈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ옆에 파바와 준코
230,각선미 무슨 일인가요...
231,언니 예뻐요🙌❤️
232,맞는 신발이 있다는것도 신기👍
233,다리 이쁘네요... 은근....
234,힝..내다리보다 이쁘다....😂
235,형 왠만하면 멋지다고 할텐데 이건 좀....
236,신발 사이즈 무엇?
237,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사람들이 정신병자인줄 알겠어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
238,"@yu_glory 진국나오면서 봤당께.,,"
239,이쁘다
240,@h._.wn
241,😍
242,응원합니다 😍😍😍
243,여자 다리네요 ㅋㅋ
244,@kim_yera ㅋㅋㅋ나만웃겨?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
245,돈은 이렇게 버는 겁니다...
246,각선미무엇🙌
247,@eunseong9491 그와중에 다리 왜 이쁜데
248,@siempre_eternally @kkahkkung @030_8lee @bomi_11_08 다리가 이쁘다
249,@jungyeol30 오빤줄 알았다;;
250,👏
251,형님 ㅁ..무서워요...
252,각선미..큽..
253,ㅋㅋㅋ 드디어 ㅋㅋㅋ
254,뭐죠..이 귀염뽀작은..?😁😍
255,와 이거 진짜 해버렷네..
256,@ks_jiin 나보다 다리 예쁘노
257,와 드디어 에뛰드다 근데 뀨 귀여워요
258,개그맨보나더웃김.....😂
259,와 에뛰드하우스 🤣🤣🤣 내가 좋아하는건데 ㅋㅋ 가장되기 힘드네요 🤣🤣 각선미 대단해요! 👍👍👍👍
260,다리 나보다 예뿌다 @ddooyooni
261,핑크의 무게는 0g...?? 😉💕
262,와 형 드디어... ㅠㅠ
263,@lys_9h 가장의 무게가 가장 무겁닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
264,형 믿고있었어
265,그 누구보다 즐기면서 하는것 같은데...
266,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ @xeonsx__
267,@o_ohsm 워크맨이었어 ㅋㅋㅋㅋ알바몬 아니곸ㅋㅋㅋㅋㅋㅋㅋ
268,참 선도 곱고 다 고우시네요 💕
269,🙈🤣🤣🤣
270,@celina_hy ㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋ
271,귀엽다❤️
272,어머 식상해.....
273,정말 대단하다 너~ 👍🏻❤️
274,언니 너무 예쁘다 ^^7
275,와 ㅁㅊㅁㅊ
276,하트를 안 누를 수 없네요..
277,@leesojeong_p 이거이겈ㅋㅋ오늘오늘 ㅋㅋㅋㅋ
278,@chaemin_0615 ㅋㅋㅋㅋㅋㅋㅋㅋ
279,@chominsuu 다리좀봐 워너비 핏이다
280,@ga_ho3o 무슨 다리가 나보다 예쁘신듯
281,@zom_don 오 드디어 했네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
282,힘을내요~ 슈퍼마켓🎶
283,@limjooha0801 ㅇㄴ 다리 왤케 이쁘냐
284,@sseul_e_ @6yunyun7 @april_fools__ @chuuuxi_3 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ 이건 킹정이지...
285,@my_jo.min 내가 오늘 본 모습;;;;
286,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ오랜만에 웃었넥ㅋㅋㅋㅋㅋ
287,어머ㅋㅋㄱㅋㅋㄱ
288,@dnwls_8251 입어쥬ㅓ
289,🤣🤣🤣
290,"@seapine11112018 어머, 이게 무슨일이야🙊"
291,이와중에 볼수록 예쁨
292,@josephina_9516 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
293,드디어 에뛰드공주옷💕💕💕💕💕
294,@monggrg_
295,@wawai.ii 에뛰드
296,옼ㅋㅋ 에뛰드!!! 다음주 기대가 돼네요^^
297,드디어 ㅋㅋㅋㅋ
298,와 드디어
299,@purple_beat_l 아까 너무 놀랐잖아ㅋㅋㅋㅋㅋ
300,그런거치고 즐기는 것 같은디
301,@bbang1.6 나만 볼 수 없지
302,@binee____e 어서오세요 공주님~~~❤️❤️
303,@na_seola ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너도 입덕해ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
304,@ilyrenuwe
305,Anjir keselek guaaa 😭😭😭😭😭 nape si lu bang? 😭😭 Samoe nyobain kerja jadi BA yaoloh 😭😭
306,힘내세요..
307,@hayoun_.song 봉구ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
308,@iam_yujung 오우 쎄다
309,오빠 너무 어울려서 반했어😍
310,@wook.e_91 ㄴㅋㅋㅋㅋㅋㅋ아낱ㅌㅌㅋㅋㅋ
311,@gimcanggeun8161 ㅋㅋㅋㅅㅋㅆㅋㅅㅋㅅㅋㅅㅋ개웃겨
312,너무 아름다워요 😍
313,@h_rin0509 @miseo3312 @miri30214 ㅋㅋㅋㅋㅋㅋ에뛰드ㅋㅋㅋㅋㅋ드뎌 하는군ㅋㅋㅋㅋㅋㅋ 핑크핑쿠옷ㅋㅋㅋㅋㅋㅋ
314,드디어
315,@seongku0315 세상 쁘띠ㅠㅠㅠㅠㅠㅠ 🙈
316,@se0n1nsta__ ㅋㅋㅋㅋㅋㅋㅋ 에뛰드 존버한다...
317,헉 너무 잘어울려요~~~👍👍👍
318,@sangdorrr ㅋㅋㅋ이러고 계셨대ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
319,"와ㅋㅌㅋㅋㅌㅋㅋㅋㅋㅋ
드디어 에뛰드다 ㅠㅠ"
320,@az._.wook 형 이거 입고 졸업 사진책 실려주세요 제발요 😫 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
321,@min._.ggong 이것도 봐줘 진짜 각선미 오짐 큐ㅠㅠㅠㅠㅠㅠ
322,@bonniemyung ㅋㅋㅋㅋㅋ
323,@lee__cs_ 앜ㅋㅋㅋ찬서 오늘 실물로 봤잖아 우리!!
324,와 드디어😂🤣😂
325,와우 각선미 보소
326,@uiu._.uan 이게 니 취향이라구..??
327,언니 다리 예뻐요
328,THIS IS BEAUTIFUL
329,@_arche_j 에뛰드워크맨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
330,아 언니 번호좀요
331,@9rrrrro_o
332,다리가 엄청 예쁘시네욬ㅋㅋㅋ
333,@yenan_ee01
334,와우..존버는 승리한다👍
335,각선미 반하겠어요. ㅋㅋㅋ
336,하준 예준아.. 눈감아🤣
337,대박ㅋㅋㅋㅋ really shooting for workman at Etude house😂
338,@yeju9_8 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ글이랑 사진이 넘웃겨ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ😂
339,@dvely.mim
340,섹시하다🔥
341,@subin0224 성규님 뭔데 왜 다리라인이 예쁘신거야😂
342,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜짱👍🏻
343,어머 공주님
344,가장이란....가장위대한 사람
345,@euna_hyun ㅋㅋㅋㅋ
346,@hee_zoo828 가장의무게 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
347,형 나 죽어👏👏
348,아니 종아리뭐여.. 왜이렇게 반듯혀
349,형 항상 존경합니다. 꼬꼬무 너무 잘보고 있어요.
350,성규형 오늘도 돈벌러 가장
351,다리가 이쁘시네요
352,우프다
353,장성규님 촬영하시고 저희 족발집 식사 하러 오셨던데 너무 신기했어요 ㅋㅋ 엄마께서 같이 찍은 사진 자랑하시더라구요 ㅋㅋ수고하세용❤️
354,"와, 종아리에 알 1도 읍뀨♡"
355,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ😂👍
356,😂😂😂😂😂
357,플랫슈즈 무엇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ🌸💖💖 증말 곱다.. 성규굔둔님❤👸❤
358,Waaaaa cant wait 😆😆😆😆
359,드디어👍👍👍👍👍👍👍🤭
360,ㅋㅋㅋㅋ
361,@hee_10.12 @0812_won
362,음~~~
363,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ드디어 왔구나
364,@jisun8217 에뛰드 드디어 나왔나보다 봐야겠네 ㅋㅋ
365,아....❣️
366,@j_yachae 아진짜 미친거 같음ㅋㅍㅋㅍㅋㅍㅋㅍㅋ
367,넘 이쁘다 진짜
368,ㅋㅋㅋㅋㅋㅋㅋ
369,@haena08__ ㅋㅋㅋ
370,@o._.jing2 ㅋㅋㅋㅋㅋㅋ
371,@yhw0225 @dmsgp_0129 @pearlpark_0706 미친 드디어
372,존예💕
373,@markbryan911 보다 예쁘심..
374,형 각선미 너무 오진다.......
375,@chaery_yeong05 너 해봐 ㅋㅅㅋㅅㅋㅅㅋㅅㅋㅅㅋㅅㅋㅅㅋㅅㅋㅅㅌㅅㅌㅅㅌㅅㅌㅅㅌㅅㅌㅅㅌㅅㅋㄱㅋㅅㅋㅅㅋㄱㅋ
376,아이고오 멋진가장🤣🤣🤣👍👍👍 바로엄마여요 바로옷 보내드리까??
377,@parkgusalsdl 에뛰드 알바 ㅋㅋㅋ
378,저 저 각선미봐라
379,@jjoo_115 각선미 ㅋㅋㅋㅋㅋㅋㅋㅋ
380,그와중에 다리선 고우심👍
381,종아리 바꾸자
382,What goes on 😭😭
383,❤️
384,저보다 훨 낫네요 각선미 👍
385,@u_gang_e_da 헐;;;; 왕 귀여워 ❤️❤️❤️❤️
386,기다릴께요ㅋㅋㅋ
387,@ral_rala
388,와 드디어 하는구나 ㅋㅋㅋㅋㅋㅋ
389,형 나 죽어...
390,드디어 했네욬ㅋㅋㅋㅋㅋㅋ😆😆
391,아 오빠 멋있어요 다음엔 상하차 존버할게요
392,종아리가참이쁘시네요👍
393,😂😂😂
394,@mijooo_k 각선미 실화냐
395,Pink waa made for you 😂👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾
396,@jhy1_87
397,ㅍㅎㅎ👍👍👍😍😍😍😍
398,모야 나보다 다리 예뻐
399,성규형...
400,😆😆😆
401,와우 듣이어‼️
402,앜ㅋㅋㅋㅋ 으캌ㅋㅋㅋㅋ
403,아 스포 하지마여 재미없게
404,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
405,앜ㅋㅋ
406,아니 핑크가 이렇게 잘어울일이냐고요
407,헐 에뛰드다
408,아
409,형 치마 잘어울려요
410,"@ssunja__ 오빠 워크맨 봐?? 드디어 에뛰드야,,"
411,결국 드디어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
412,여자보다 예쁘세요 각선미🤤😍
413,여자보다 더 예뻐보이는건...?ㅎㅎ😉
414,오오오 드디어 에뛰드
415,누규?
416,🤣🤣🤣🤣🤣🤣🤣
417,이와중에 핏 ㅁㅊㅋㅋㅋ
418,오빠 다리 왤케 얇앜ㅋㅋㅋ
419,역시 모두의꿈은이루어진다😂😂😂😂😂😂
420,마법소녀 성규♡♡
421,드디어!!!
422,샤라라랑💕✨
423,@____s2_daehan
424,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
425,아저씨 왜 😆😆😆 귀여워 😆😆
