,댓글
225,인성 ㅡㅡ즈그집불나면 지랄할것들이 ㅡㅡ
226,대체 왜 자기 업장 근처에 불이났는데 그까짓 소화기 하나 빌려주지 못하는 걸까.. 호미로 막을 것을 가래로 막아봐야 반성하실까...
227,@seowoo_w 이건 무슨 상황...
228,그지같은 것들이.. 지들이 나와서 끄지는 못 할 망정..
229,어떻게소화기를아끼냐ㅉㅉ 저런곳들소화기유통기한확인해봐야함.유통기한지났다에한표.💣💣
230,@su__sang_ 안빌려준데 망하겠다
231,@minjoo_j_ 대전...??? 소화기 작동 안 될까봐 거절하는 걸까..왜 안 주지ㅠ인색하오
232,@p_gga_ 노답
233,😢자기들만 생각하니 원....
234,왜 안빌려주징 자기네 가게안까지 불번지고나면 그때 쓰려고?
235,@jooperman_park 대전이얌!!!!!!
236,@yjp0304
237,@s_meee___
238,@2_hyong 엥 대전?
239,@yoonkangheun 불이낫다는데 미쳣네 상가주인들 미쳣네
240,어디 상가인지 밝혀라~~~불매~~가즈아~~~~
241,비상식적이네
242,엥?진짜?왜안빌려줘 ㅠ
243,정말....정말.... 나쁘다
244,소화기 값이 얼마라고 왜 안 빌려줌????????😡😡😡안빌려준상가집들 불나면 도와주지말아요😡
245,소화기 안빌려준 저 인간들집에 제발 불나서 다 활활 타서 듸지길 기원
246,@bbeum__99
247,@zabom_
248,@rlaowlsl 왜 안빌려주지..?
249,@ple_94__
250,가게 어디에여????? 저 근처로 가게는 안가면 되겠다~~
251,ㅋㅋㅋㅋ 대갈민국 2020년 시민의식수준 ㅋㅋ
252,"음주운전을 하지말라고 호소를해야돼....?
원래 안하는게 맞는거아니냐.."
253,당연한건데 저렇게 호소를 해아되는건가... 음주운전 살인이라고
254,우리나라 교통법...특히나 음주운전 사고에 관대한건 대체 무엇을 기준으로 만들어 졌는지 제일 이해가 안된다.음주 사고로 사람을 죽였는데 합의하고 변호사 사서 잘 변론하면 길면 3-4년...누군 억울하게 죽고 그 가족들은 평생을 아픈 가슴을 부여잡고 사는데 우리나라 음주사고 처벌은 솜방망이!!!왜...판사들도 언제 음주운전 사고를 낼지 몰라서 미리 판례로 적은 형량을 때리는건가...?!
255,제발 손목 잘라라! 음주운전은... 끊이질 않는다.. 부모 어떻게 살까... 죽는걸 본 형은 평생 어찌 살까ㅡㅡ
256,최소 무기징역 ㄱ
257,"제발이지 성폭력, 음주운전 형벌은 무겁게 해야합니다! 이해할수 없는 그 어떤 말로 죄는 가벼워 질수없으며, 한 가정의 평화를 깨버린 죄와 책임을 물어야만합니다."
258,제발 처벌을 더 세게 했으면 ㅠㅠ
