,댓글
407,놑북있으면 딱히 쓸일 없는건가? ㅠ
408,응 써보니까 그렇더라.. 그냥 대신 들고다니는거지.. 진짜 편하긴 해!
409,혹시 아이패드로 한글이나 ppt작업도 할수있어? 따로 또 사야하던가?
410,이거 개빡침
411,ㅈㄴ쉽던데
412,난 사소하게틀려서 0.5씩 몇개 까짐ㅆㅂㅠ
413,만점임?
414,헐 그래도 기말 있으니까 ㄱㅊㄱㅊ
415,그래도 피피티보고 영상보고하면 금방써지던데..꾸준히 공부한사람들이면 만점쌉가능일듯
416,돈 액수에따라 가능
417,ㅇㅈㅇㅈ
418,ㅋㅋㅋㅋㅋㅋ눈물 아무리 흘려봤자 종이컵 하나 채우기도 힘듬ㅋㅋㅋㅋㅋㅋ
419,사랑을 하면서 너를 생각해왔던 것을 너를 빌려서 상상을 했다고 표현한 듯
420,아닠ㅋ 노래가사라고 널 빌린 생각의 시간이 몬뜻이지 ㅋㅋㅋ
421,너에 대한 생각을 한다=내 생각안에 너가 있다=널 내 생각 안으로 빌려온거지 뭐.... 그리고 ㅋㅋㅋㅋㅋㅋㅋㅋ솔직히 그리움에 무게가 어디있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이러다가 영혼의 무게를 재는데 성공했습니다. 이러겠네 ㅋㅋㅋㅋㅋㅋㅋㅋ
422,오 독해력 모야 갬수성좋네
423,ㅋㅋㅋㅋㅋㅋ눈물 아무리 흘려봤자 종이컵 하나 채우기도 힘듬ㅋㅋㅋㅋㅋㅋ
424,사랑을 하면서 너를 생각해왔던 것을 너를 빌려서 상상을 했다고 표현한 듯
425,아닠ㅋ 노래가사라고 널 빌린 생각의 시간이 몬뜻이지 ㅋㅋㅋ
426,너에 대한 생각을 한다=내 생각안에 너가 있다=널 내 생각 안으로 빌려온거지 뭐.... 그리고 ㅋㅋㅋㅋㅋㅋㅋㅋ솔직히 그리움에 무게가 어디있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이러다가 영혼의 무게를 재는데 성공했습니다. 이러겠네 ㅋㅋㅋㅋㅋㅋㅋㅋ
427,오 독해력 모야 갬수성좋네
428,ㅇㅇ 안해도댐
429,실질적으로 낸 금액이 없는거아니야??
430,전액 장학만 안 받는 거 아녀?
431,아녀 외부장학 내부장학 이것저것 다 떼고 진ㅉㅏ 너가 낸 돈만 받는거 얼마정도냈는디
432,백팔십?인가 정도 냈는데
433,그냥 학기중에 수강신청하는 것보단 쉬움
434,실질적으로 낸 금액이 없는거아니야??
435,전액 장학만 안 받는 거 아녀?
