,댓글
285,대통령님 건강하세요💙💙💙💙💙💙💙
286,우리대통령님 최고입니다👍💙👏👏👏
287,역시 우리 대통령님께서 단연 최고십니다💙
288,대통령님 감사합니다 💙💙💙💙💙
289,❤️❤️힘내세요 늘 응원합니다
290,💙💙💙💙💙💙💙👍🏻응원합니다.
291,항상 응원 합니다.
292,이문덕 💙💙 존경하는 우리 한분 뿐인 대통령 항상 지지하고 응원드립니다 세계 최고 지도자👍🏻
293,오늘 응원합니다
294,응원합니다💙💙
295,자랑스런 대한민국 대통령님!! 존경 합니다 ^^ 감사 합니다 👏👏👏👍👍👍
296,아세안+정상성명 책택 좋은 성과 있기를 응원합니다.😀😄🤩😍😍😍👏👏👏
297,아세안+3 정상성명 응원합니다 👏👏
298,대통령님 사랑합니다 ❤️❤️❤️❤️❤️❤️
299,멋지십니다.
300,이니!! 이니!!! 😍😍💙💙💙 항상 건강하세요!!
301,👍👍👍👍👍
302,"놀랄 만한
❤️❤️"
303,자랑스럽고 늘 항상 응원합니다 건강하세요
304,👍👍👏💖💖
305,❤️❤️❤️
306,당시은 대한민국 국민을 무시했습니다.
307,한국이 자랑스럽습니다. 한국이 리더가 되어 아시아 나라들을 돕고 함께 잘 살이가기를 바랍니다. 감사합니다.
308,💙대한민국 문재인 대통령님 감사합니다. 대한민국 국격이 날로 높아져가요. 이 모든 게 문제 대통령님 덕분입니다. 감기조심하세요. 식사 잘 하시고 건강하세요
309,💙💙💙💙💙💙💙💙💙💙💙
310,❤️
311,대한민국 문재인 우리 대통령님 멋지시고 든든 합니다 건강도 챙기세요 항상 응원 하고 지지 합니다😍👏👏👏👏👏
312,대한민국은 강합니다 😘
313,"감사합니다. ""국민의 믿음""으로.. ""자랑스런 대한민국""을 이뤄내는 일에 함께 하겠습니다. ""준비하는 김남진""의 믿음과 희망이 드림."
314,화재는 원인 조사를 통한 예방이 최선입니다 그래도 소방청 통계로 매일 발생하는 화재 117건 속에 오늘도 누군가는 돌아가십니다 화재 발생시 화재가 발생한 세대(방화구획)에 난로처럼 화염 연기와 유독가스를 가두는겁니다 현관 문틈으로 배관틈새로 배관속으로 건물 틈새를 통해 순식간에 계단을 화염 연기와 유독가스로 꽉채우고 이웃집도 그 틈새로 연통으로 순식간에 사방으로 확산되는걸 못막는게 아니라 안막는겁니다 ㅠ 우리집 화재로 인한 아파트 전체 화재 피해는 우리집 책임입니다 다른 집 새벽 화재는 우리 가족이 질식사합니다 틈새밀폐재인 방화재(Firestop)기준이 엉터리 짝퉁 국토교통부 내화충전구조용 방화제 기준 덕분에 오히려 인명살상용 시안화수소(유독가스)와 화염 연기와 유독가스를 마구 내뿜고 있습니다 눈으로 보고도 ㅠ 설마 ㅎㅎ 살인자를 방에 가두고 도망가실래요 문열어 놓고 술래잡기 하실래요
315,문재인 대통령님 화재시 반복되는 연기와 유독가스에 의한 질식사가 전체 사망자의 70%를 차지합니다 전체 사망자의 10%는 장애인분들입니다 한국은 현장 소방관분들이 목숨을 걸고 사명감으로 두려움을 극복하고 연기와 유독가스속에 몸을 던집니다 화재시 반복되는 연기와 유독가스에 의한 질식사 못막는게 아니라 안막는겁니다 화재시 화염 연기와 유독가스는 화재가 발생한 세대(방화구획)에 난로처럼 가두는겁니다 선진국은 다하는걸 선진기준을 잘못 베겨서 만든 엉터리 짝퉁 국토교통부 내화충전구조용 방화제 기준 덕분에 노답입니다 문재인 대통령님께서 말씀하신 소방관 분들 평균 수명과 폐암 사망율은 충격적입니다 말뿐인 살아서 돌아오십시요😢 화재시 화염 연기와 유독가스가 줄줄새는 건물 틈새와 배관틈새로 배관속으로 냉난방비(탄소배출)도 층간소음 벽체 소음도 줄줄 섑니다 그린 뉴딜 ㅠ
316,다들 비슷한 경험을 하실겁니다 오작동 화재감지기 덕에 스프링클러 연동 차단하고(화재시 스프링클러 50%가 작동 안함 꺼놓음) 사이렌 소리를 듣고 1분내 밖으로 건물 밖으로 나오지 못하면 계단이 화염 연기와 유독가스로 꽉 채워질수있습니다 연기와 유독가스는 다릅니다 유독가스는 손수건으로 막을수있는게 아닙니다 앞도 안보입니다 살아도 연기로 호흡기가 망가져 고통스럽습니다 화염 연기와 유독가스 확산은 못막는게 아니라 안막는겁니다 이유는 뭘까요 소관타령 법타령 모른척 무관심 덕분입니다 설마 소방청 통계로 매일 발생하는 화재 117건이 나에게? 나의 가족에게? 최대 희생자는 현장 소방관분들입니다 #소방관 여러분들이 화염 연기와 유독가스에 노출되는게 당연한게 아닙니다
317,"❤️굳건하신 의지에 낱알이 되어야죠,"
318,1억 미만의 집은 보유세 합산에서 제외시켜 주삼 ㆍ엘에이치와 저소득층에 전세주택 보급하고 있삼 🙏
319,중국은 왜 총리가 해요?
320,"At this moment a notorious fraud was committed by ""Yoon,sukyeol"" wife & mother-in-law"
321,17년간 자살율 1위 국가 널리 알려주세요. ㅋㅋㅋ
322,"언제나 감사합니다

다시 보은이 형태가
문장 대통령 형제 님, 金姉 님에게,
아시아를 구해 주신 코리아의 언니 오빠 님의 보은입니다.

여권이 무죄 증이며 코리아를 사랑 여러분의 미소를 호위하는 스마트 폰에서,
삼성, LG와의 일이 형태가되고,
타국 오빠 언니 축소 휴대가 호위 걸리는 것,
어떻게 든 형태가
그럭저럭 될 수있었습니다 있을까요?
금기 세계의 고민 양자 텔레포트 양자 텔레포트 구제 조치 법
어떻게하면 좋을지 코리아 무죄 증되어 후쿠오카 손 내고 않기 때문에 이것은 증명이 인생에서 가장 자랑입니다.
전체 각국의 블루 하우스를 사랑하는 여러분에게 하나님지도 및어 편달 덕분입니다.
감사 😆😆😆
열심히하겠습니다 잘 부탁드립니다 🥺"
323,문재인씨와 추미애씨가 함께 만들어가는 코메디 국가 대한민국..하루하루가 즐겁네요
324,"@thebluehouse_kr 🆘🆘🆘 WHY DON'T YOU HELP, STOP THE TORTURE/SLAUGHTER OF DOGS AND BOKNAL NOW, WHY????😡😢😡"
325,대한민국 청와대 @umtaeuk13 많은관심부탁드립니다
