,댓글
182,아니 문재인은 이딴 소리 집어 치우고 경제 살린다면서 임기 끝나가는데 뭐하니..?
183,Korean companies burn Papua forests for palm oil
184,탄소 배출 제로 지지합니다
185,..? 다들 직접적으로 와닿지않아서 딴소리들 하시는건가.. 당연히 해야되는건데
186,@0_5un 몰라
187,"선사시대로 돌아가면 가능
돈쓸 궁리만 하는군"
188,문벌구 주둥이만 열면 구라~~~!^^
189,수소차 세계일등인 대한민국의 문이 활짝 열리는거임.
190,븅신
191,미국이 이제까지 배출한 탄소가스 어쩔...
192,부산은 달맞이고개 망한 거 보면 배우는 게 없나? 거기다 재개발해서 짓는 게 죄다 아파트. 아파트 아니면 집도 아닌가? 사람들이 모두 아파트에 살고 싶어하지 않는데.
193,ㄴ
194,카페가 늘어난건 집주인이 팔거나 세를 준거아닌가요?기존세입자가 쫓겨났단건가요?지방이 땅값오른게 좋은거 아닌가요?기존세입자들이 갈곳이 없어진단 건가요?진짜 궁금해서...답좀요~
195,진짜 추억은 사라지고 외부인이 만드는 가짜 스토리텔링으로 둔갑되는거지. 지형적으로도 날씨영향을 많이 받아 유지가 힘들텐데... 가게가 들어서서 외부인이 많아지니... 페인트칠도 왜 다 하얗게 했지? 영화에서는 저런모습이 나오지도 않고 그냥 사람사는 골목길인데
196,젠트리피케이션의 전형이네요.. 씁쓸 ㅠ
197,이해쏙쏙~감사합니다👏
198,근데 영화촬영지로 유명한거랑 재개발이랑 무슨상관이예요?!!
199,고무바닥 최악이다 증말 ..
200,😢
201,젠트리피케이션
202,@min_hyeok_1123 심각하네
203,@zisuupark 진짜 여기 주민들 불편하긴 하긋당 ..
204,@khl120319 띠용~영도 등장
205,@seosehong 주민들은 마음이 아프겟다 진짜ㅠㅠ
206,@rigi_89
207,ㅇㅇ바이든 부정선거나 보도해라
208,어플 이름을 공개하는게 아니라 bj를 공개해야지
209,그게 결제가 착착 된다는것도 이상하다... ㅡㅡ 아이고.. 전세보증금을...
210,병원치료 받게하셔야할듯 1억5천을 모르는사람한테 바치는건 정신적인문제임
211,뭐 이런 거지같은 사이트가 있나요? 검찰청은 압수수색 안해요?
212,애가 생각이없네
213,뭐야~~~ 이 싸이트 폐쇄하고 운영자 한테도 손해배상 해야지 싸이트를 만들기만하고 관리는 안하다니 그 비제이랑 뭐가 달라
214,아니 이게 가능한가요?
215,이건...애도 문제지만~부모도 문제인 듯....그리고bj를 공개해야지..ㅜㅜㅜㅜㅜㅜ
216,어제 뉴스 보고 얼마나 놀랐던지요!! 😱😱😱😱
217,아무리 돈이 좋다지만 정도가 심하네요.
218,왜 돌려줘야 하는 지 이유 아시는 분?
219,변호사 에서 일부 미성년자 이기 때문에 부모 동의하에 돈 일부 4천만원 돌려받을 수있다고 하던데 딴 애들은 돌려줬는데 한bj만 안돌려주고 있다고 해서 법적 절차 진행 하실듯 기사 이름 금방 뜰텐데 좋게 해결하지
220,하다못해 중국도 미성년자 한해서 법적으로 한 번은 환불 해주는데..
221,어이가없네👊
222,내가 이래서.. 하쿠나 어플 문제있당게.. 에휴.. 조만간.. 어플.. 삭제빵 가즈아.. 요세.. 이거 광고도 뜸함
223,애들 교육좀 시켜라 멀쩡한 부모들 욕먹이지말고
224,@realhy_34 어버님 목소리에서 억장이 느껴짐
225,@kawaii__chu 아니 어떻게히면 휴대전화로 1억을 결제하냐 은행어플들어가서 계좌이체를 햇나 ?
226,@_eunsi 아니 초등학생이 엄마펀르로??? 이게 상식적으로 가능해?? 미친거야??
227,@hyun.4335 하...
228,@sion._.06 @sieun_l._.l 조심해
229,이거지 네가 말한 거 @oing_ttoing_
230,@m_in_94 @di_________ham
231,@subin_0915 이거임
232,@bin._.bro ㅡㅡ
233,@siwoo_1023 @s.s._0611 헤엑 미쳤나봐 1억을 결재했대
234,@moon.lu_z 난 이걸보는데 왜 미성년자 행위능력을 떠올리니...
235,@sherlockeee 역시 무자식이 상팔자^.^
236,@4.rirn 대ㅏㄱ박
237,@florescent_me 와 저 비제이 뭐야 시청자들도 뭐고 아이고...
238,@wo_ok_2
239,@2005._.so 너는 이렇게까지 안하지??
240,@hana_yooyay ㅁㅊ
241,@seulvly__ 누구 생각나는 사람 있지?딱 누규
242,@sooobiiny
243,@_moonstruck_97 ㅋㅋ하쿠나
244,@0124_jb 어후
245,@wisdom__7__8 이거 봐..
246,@mina__day 에바띠
247,@amor_memoriae 헐
248,나머지 동의 안한 bj 한 명 누구냐
249,@kyuntsby 내새끼가 이러면 어쩌지..
250,부모와 아이 모두에게 문제가 많은듯.. 부모님은 아이에게 제대로 가정교육을 시켜야 할 듯 합니다. 돈에 대한 개념이 너무 없는것 같습니다 😢😢
251,@s_9.26v
252,@b___ona_ 쥐콩 만한게 보통이 아니다야
253,@112a119b_ 미친다진짜..ㅋㅋ..
254,@dyieskne 미친놈 아닌가
255,별 미친 어플이 다있네. bj얼굴공개했으면 어린애 돈 받고 편안한지. N번방이 걸려도 또 저짓거리하는것들이 있구나. 애들 단속도 잘해야할듯. 저런 어플은 뉴스로 처음들음. 저런게 있는지도 처음듣고 왜 모르는사람한테 돈을 쏠까. 그돈 내가 쓰는거 좋지.
256,아무리 내새끼라도 다리병신 만들어버렸을듯...
257,@i_daon_1028 어린노므시키가 돈개념이 없어..
258,억장이 무너진다......
259,BJ공개합시다
260,그냥 결제 시스템이 없어져야 됨
261,한명누구니???
262,@b____chan @x910605 하아...시각장애인 엄마 폰으로 몰래 했대..하
263,1억이 결제가 된다고?
264,@jinnnkk_ 와
265,@dohyeon78
266,대단하다
267,이게 말이가. 1억을 결제할 수 있게 해놨다고? 보이스 피싱의 연장선이네.
268,@a_hyung__ 가족의 전세보증금....
269,@zizonkinggod 와.. 진짜 막막하노
270,애가 그리 되도록 머한거야 부모는. 9시이후에 폰뺏고 매일 체크해야한다
271,이건 그냥 애가 생각이 없네
272,@yeounjoo_0623 이게 머선일 .....
273,@amoawe ???? ;;;; !!!!
274,@huunnn__
275,@u.boram ㄷㄷㄷ
276,이거 비제이랑 시청자가 계속 말렸는데도 계속 보내서 6천 얼마 빼고는 다 환불 해줬다던데
277,@psychov_v
278,@ms_of_gloom 오우..
279,@jeongjaewon08 @yeom_jeongyeon_
280,@gagamal00
281,@seoyoung_yang
282,@pro__jpark_s
283,@j_sun__ho
284,@mjsh31
285,@yoon__pa 아이고 ..
286,@ii1009ii
287,@cseha.a 목숨값 1억원
288,@doug_chang 난 애 절대 못낳겠다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ1억 3천ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
289,@do_zzinzzi
290,@yewon_16 하쿠나..
291,@yunti._.mon @vio.k @hys3416 휴
292,@eunbin8525 와 이런일 없게 잘 가르쳐야겠어요..
293,@jinsan777
